company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Lovelace Studio,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,42.0,1.2,5.0
Swan (Financial Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,90.0,107.48,295.0
Exowatt,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,78.0,90.0,44.0
Oligo,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,89.0,86.0,67.0
RedotPay,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,85.0,43.0,
Camber (Healthcare Technology Systems),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,81.0,48.62,57.0
Giskard,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,80.0,6.61,24.0
Data Sutram,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,89.0,16.52,85.0
Sarla Aviation,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,89.0,11.7,47.0
Sunday,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,88.0,111.0,106.0
Intangible,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,62.0,7.77,10.0
Method Financial,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,89.0,60.1,49.0
Sentra,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,96.0,103.0,133.0
Anthropic,71,0.31674208144796384,0.030772825253050324,0.04318375798870847,0.1925407520219376,98.0,18004.0,1000.0
Inferless,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,37.0,3.27,7.0
Verkada,101,0.4208144796380091,0.010517462735704893,0.09532811713249359,0.21165969254590897,98.0,654.8,2437.0
M.Gemi,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,77.0,82.39,32.0
Manychat,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,94.0,159.12,384.0
KoBold Metals,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,98.0,750.41,979.0
Clutch (Network Management Software),47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199715,83.0,28.5,30.0
Reflection AI,101,0.4208144796380091,0.010517462735704893,0.09532811713249359,0.21165969254590897,93.0,130.0,25.0
Darwinbox,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,94.0,129.36,1363.0
Tines,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,98.0,271.71,368.0
Eclypsium,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,93.0,94.24,111.0
Gemist,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,80.0,11.6,10.0
Rupifi,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447772,0.3336472476448005,75.0,191.06,145.0
Northwood,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.3350340058363686,67.0,36.3,48.0
Lyst,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,85.0,184.95,150.0
